,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
239,BACUNI_02847,0.935354510634145,7.38634119947431e-13,-1.38887905090516,2.5846209640877503e-47
240,BACUNI_00333,1.91237812770947,7.46291493116236e-13,2.22742120502215,1.34103319861287e-73
241,ilvD,-0.787827563531525,7.64386382619865e-13,-2.48106263959028,7.40203002539859e-227
242,BACUNI_04454,0.778683246660631,7.71784279068645e-13,1.73510848313391,2.49210051459026e-153
243,BACUNI_03438,1.25726666688446,7.71784279068645e-13,0.576319682523628,0.0009962842267781
244,rpmB,-1.15091255206792,7.71784279068645e-13,-1.55563611954329,1.13056501112934e-75
245,BACUNI_03112,-0.680094238143031,7.83473793424112e-13,-0.909027570621318,1.6788470772345e-49
246,BACUNI_00195,-0.731914911484072,7.83473793424112e-13,-2.01116280165817,2.19196893986849e-44
247,BACUNI_02285,-0.968007240643164,7.838526784617629e-13,-1.94257461848957,1.0408878973106199e-176
248,BACUNI_01232,-1.02227076932585,7.86711026639852e-13,-2.62047819332489,4.9160153767579905e-199
249,ftnA,1.45634621046461,7.87604884077032e-13,2.58941384642655,2.32460797795834e-134
250,ftnA,1.05674736488693,1.8366773384814702e-09,2.58941384642655,2.32460797795834e-134
251,buk,1.05281797320745,7.9153300478109e-13,2.18378185844049,5.4144829693379096e-238
252,BACUNI_00602,0.921554766550521,8.05541527970354e-13,2.02872413306412,1.6921036960868901e-112
253,BACUNI_02570,-0.935899661706696,8.13806385556555e-13,-1.96521751898923,5.7494016033033395e-123
254,BACUNI_01067,1.33908681434981,8.22131996009062e-13,3.5162202890563,6.2636764773916904e-136
255,BACUNI_01044,1.13965534365276,8.39242823703397e-13,0.728728316346401,4.31590705089282e-22
256,BACUNI_01230,-0.844033626688958,8.39242823703397e-13,-2.26897134847512,4.33707249521517e-146
257,BACUNI_01457,-1.10476855395669,8.54628668056772e-13,-1.72817736209208,9.97544800606792e-32
258,BACUNI_01689,0.79986004775909,8.66469422268499e-13,0.859166545888912,6.02392484464178e-35
259,araA,1.05618725621019,8.77025235964448e-13,1.37406805184497,1.27861976023517e-60
260,rpsK,-1.19433729694656,8.85750701427263e-13,-2.92637906624035,0.0
261,BACUNI_01545,-0.559369820362015,8.93745553638052e-13,-1.04544917039694,1.3796798244947e-67
262,carB,-0.749331849670753,9.19432999077668e-13,-1.53928472466165,3.57683425223317e-142
263,BACUNI_00388,1.71059375989018,9.3837373806777e-13,1.20061275182223,4.39050178354271e-37
264,BACUNI_02219,0.865458660193983,9.68494207230432e-13,1.44663483245457,9.07138023721541e-72
265,BACUNI_02015,1.00187492294014,9.68494207230432e-13,-1.44494316473199,3.20643821112718e-52
266,BACUNI_02914,1.29423076815132,9.77000343992511e-13,0.542202722976977,1.69743489008591e-13
267,BACUNI_01258,1.45665319359738,1.03104402364329e-12,1.5465454437158,6.51113165660073e-72
268,BACUNI_03337,1.00286895112017,1.0334607618077998e-12,2.28503525040575,1.0178572869939801e-235
269,atpD,1.12571258316532,1.0453377109271399e-12,1.93243893771094,1.12525231965472e-199
